Year: 1980 (National delta: R+12.6)
	DC  	D+3.3	[Raw: D+66.4 -> D+69.6,	Relative: D+76.9 -> D+80.2]
	DC  	D+6.2	[Raw: D+85.2 -> D+91.4,	Relative: D+83.0 -> D+89.2]
	GA  	D+2.6	[Raw: R+7.9 -> R+5.3,	Relative: R+10.1 -> R+7.5]
	IL  	D+0.9	[Raw: D+17.2 -> D+18.0,	Relative: D+15.0 -> D+15.9]
	KS  	D+0.0	[Raw: R+22.2 -> R+22.2,	Relative: R+24.4 -> R+24.4]
	MA  	D+5.7	[Raw: D+23.6 -> D+29.3,	Relative: D+21.4 -> D+27.2]
	MD  	D+1.4	[Raw: D+26.6 -> D+28.0,	Relative: D+24.5 -> D+25.9]
	NE-02  	D+4.8	[Raw: R+7.3 -> R+2.4,	Relative: R+9.4 -> R+4.6]
	TX  	D+6.6	[Raw: R+16.0 -> R+9.4,	Relative: R+18.2 -> R+11.6]
	UT  	D+24.5	[Raw: R+49.3 -> R+24.8,	Relative: R+51.4 -> R+26.9]
	VA  	D+1.7	[Raw: D+3.9 -> D+5.7,	Relative: D+1.8 -> D+3.5]
	WA  	D+2.3	[Raw: D+15.3 -> D+17.6,	Relative: D+13.1 -> D+15.4]

Year: 2020 (National delta: D+2.3)
	CA  	R+2.4	[Raw: D+32.3 -> D+29.8,	Relative: D+27.8 -> D+25.4]
	DC  	R+2.5	[Raw: D+91.4 -> D+88.9,	Relative: D+87.0 -> D+84.5]
	FL  	R+2.2	[Raw: R+1.2 -> R+3.4,	Relative: R+5.7 -> R+7.8]
	HI  	R+4.8	[Raw: D+34.9 -> D+30.1,	Relative: D+30.5 -> D+25.6]
	IL  	R+0.7	[Raw: D+18.0 -> D+17.3,	Relative: D+13.6 -> D+12.9]
	NV  	R+0.1	[Raw: D+2.6 -> D+2.4,	Relative: R+1.8 -> R+2.0]
	NY  	R+3.4	[Raw: D+26.8 -> D+23.4,	Relative: D+22.4 -> D+19.0]

Year: 2024 (National delta: R+6.0)
	NE-01  	D+2.1	[Raw: R+15.4 -> R+13.2,	Relative: R+13.8 -> R+11.7]
